saved_at,track_id,track_name,album,album_date,artists
2025-03-04T18:27:24Z,3E2alxlOoe5EURfec217Uu,"Kissik (From ""Pushpa 2 The Rule"") [HINDI]","Kissik (From ""Pushpa 2 The Rule"") [HINDI]",2024-11-24,"Lothika, Sublahshini, Devi Sri Prasad, Raqueeb Alam"
2025-03-04T18:26:57Z,46ofwvDbks8GpQoLxGVD0o,"Kissik (From ""Pushpa 2 The Rule"") [TELUGU]","Kissik (From ""Pushpa 2 The Rule"") [TELUGU]",2024-11-24,"Sublahshini, Devi Sri Prasad, Chandra Bose"
2025-03-04T15:04:56Z,4jigZPtP8wuNy2vnQw7dUn,"Ishq Mein (From ""Nadaaniyan"")","Ishq Mein (From ""Nadaaniyan"")",2025-02-03,"Sachin-Jigar, Sachet Tandon, Asees Kaur, Amitabh Bhattacharya"
2025-02-26T20:41:54Z,0se928CIhZPlfVGi3A6zrx,Crazy Kiya Re,Dhoom:2,2006-10-19,"Pritam, Sunidhi Chauhan, Sameer Anjaan"
2025-02-14T19:48:03Z,6VOKUdxhjSwbjinKbguOmy,Achha Lagta Hai,Aarakshan (Original Motion Picture Soundtrack),2011-07-11,"Shankar-Ehsaan-Loy, Mohit Chauhan, Shreya Ghoshal, Neuman Pinto"
2025-01-26T22:10:43Z,4vHRQnzGcKEtqsLH70tAms,"Raanjhan (From ""Do Patti"")","Raanjhan (From ""Do Patti"")",2024-10-04,"Sachet-Parampara, Parampara Tandon, Kausar Munir"
2025-01-26T21:49:52Z,5sUSbJo0brScvv48ZZ1HrQ,O Meri Laila,Laila Majnu (Original Motion Picture Soundtrack),2018-10-30,"Atif Aslam, Jyotica Tangri"
2025-01-25T06:46:27Z,2WsuSYJNXGKXVYkHPnq2yp,Ransom (with Juice WRLD) - Remix,We Love You Tecca,2019-08-30,"Lil Tecca, Juice WRLD"
2025-01-22T04:23:07Z,6OTfUkn4BwQtSnWvwO9vyR,Sooiyan,Guddu Rangeela,2015-07-03,"Amit Trivedi, Chinmayi, Arijit Singh"
2025-01-19T22:53:45Z,6N22FZs2ZhPBYi3b9XPajV,Still Don't Know My Name,Euphoria (Original Score from the HBO Series),2019-10-04,Labrinth
2024-12-23T00:05:23Z,1tEto4JrqNmBZFH5uAiYqb,Sadi Gali,Tanu Weds Manu,2011-02-02,"Lehmber Hussainpuri, Raj Shekhar"
2024-12-21T20:39:05Z,6J4oLY2GEwOsUgEd50IpKy,Baarish Ka Asar,Baarish Ka Asar,2020-12-09,Twin Strings
2024-12-20T05:47:48Z,5e0b9LgOfi3aJSKXFcOWRe,Beanie,Beanie,2023-11-28,Chezile
2024-12-20T02:19:46Z,0TAmnCzOtqRfvA38DDLTjj,Little Things,Take Me Home (Expanded Edition),2012-11-12,One Direction
2024-12-19T07:27:56Z,0s9Rh73nBce2twJtTLGz1P,Diwana Hua Badal,Kashmir Ki Kali (Original Motion Picture Soundtrack),1964-12-30,"Asha Bhosle, Mohammed Rafi"
2024-12-19T04:34:23Z,7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),I Had Some Help,2024-05-10,"Post Malone, Morgan Wallen"
2024-12-18T01:28:15Z,0eCajpR75pDW0r64U6hP2x,Jo Tum Mere Ho,Jo Tum Mere Ho,2024-08-02,Anuv Jain
2024-12-16T08:35:20Z,4rHZZAmHpZrA3iH5zx8frV,Mirrors,The 20/20 Experience (Deluxe Version),2013-03-15,Justin Timberlake
2024-12-16T07:40:51Z,7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),Flower Boy,2017-07-21,"Tyler, The Creator, Kali Uchis"
2024-12-16T07:40:30Z,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Merry Christmas,1994-10-28,Mariah Carey
2024-12-14T08:21:35Z,1lUskB61Guv9LkWSV9ycWe,Sajan Bin,Bandish Bandits (Original Series Soundtrack),2020-07-27,"Shankar-Ehsaan-Loy, Shivam Mahadevan, Jonita Gandhi"
2024-12-08T09:01:45Z,4y5bvROuBDPr5fuwXbIBZR,Paper Rings,Lover,2019-08-23,Taylor Swift
2024-12-07T23:16:52Z,3lQPwCmD918SyoiIkw1zqx,Sifar Safar,Sifar Safar,2024-10-18,Karan Aujla
2024-12-07T23:16:37Z,1wHZx0LgzFHyeIZkUydNXq,Antidote,Rodeo,2015-09-04,Travis Scott
2024-12-07T23:16:36Z,7KmCQLSSde0UX5OqCgvGN9,ANTIDOTE,Four Me,2024-06-26,Karan Aujla
2024-12-07T21:40:26Z,6eVk7jmEp8aObKsjZwkaCe,Intaha Ho Gai Intezar Ki,Sharaabi (Original Motion Picture Soundtrack),1984-12-01,"Kishore Kumar, Asha Bhosle"
